node_id	species	metabolic_type	feeding_type	environment	feeding_mode	trophic_level	d15N	Mean_mass_g	mobility
214	Astrotoma_agassizii	Invertebrate	omnivorous	benthic	predator/scavenger	2.87	9.44	4.2E+00	2
215	Astrochlamys_bruneus	Invertebrate	omnivorous	benthic	predator/scavenger	3.66	7.321	1.6E+00	2
216	Gorgonocephalus_chiliensis	Invertebrate	omnivorous	benthic	predator/scavenger	3.10	7.321	2.7E+00	2
217	Sterechinus_neumayeri	Invertebrate	omnivorous	benthic	predator/scavenger	2.67	5.98	2.9E+00	2
218	Sterechinus_antarcticus	Invertebrate	omnivorous	benthic	predator/scavenger	2.47	8.9	8.5E+00	2
219	Ctenocidaris_gigantea	Invertebrate	omnivorous	benthic	predator/scavenger	3.26	9.249	1.6E+01	2
220	Ctenocidaris_spinosa	Invertebrate	omnivorous	benthic	predator/scavenger	3.24	9.576	3.1E+00	2
221	Notocidaris_mortenseni	Invertebrate	omnivorous	benthic	predator/scavenger	3.01	9.249	3.5E+00	2
222	Abatus_curvidens	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	9.6	1.4E+00	2
223	Abatus_cavernosus	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	7.827	2.7E+00	2
224	Abatus_nimrodi	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	7.392	3.7E+00	2
225	Abatus_shackeltoni	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	7.392	1.9E+00	2
226	Austrocidaris_canaliculata	Invertebrate	carnivorous	benthic	predator/scavenger	3.78	9.249	8.9E-01	2
227	Aporocidaris_milleri	Invertebrate	carnivorous	benthic	predator/scavenger	3.30	9.249	2.7E+00	2
228	Ctenocidaris_perrieri	Invertebrate	carnivorous	benthic	predator/scavenger	3.26	9.249	1.5E+01	2
229	Ctenocidaris_gilberti	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	9.249	1.6E+01	2
230	Mesothuria_lactea	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	7.69	6.6E-02	2
231	Achlyonice_violaecuspidata	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	6.3	1.5E-01	2
232	Bathyplotes_gourdoni	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	6.44	4.8E+00	2
233	Bathyplotes_bongraini	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	8.44	4.8E+00	2
234	Scotoplanes_globosa	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	7.69	2.4E-02	2
235	Molpadia_musculus	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	7.69	2.3E+00	2
236	Ypsilocucumis_turricata	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	11.5	6.9E-01	2
237	Psolidium_incertum	Invertebrate	detrivorous	benthic	deposit-feeder	2.00	8.877	4.3E-02	2
238	Trachythyone_parva	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	7.69	4.3E-02	2
239	Laetmogone_wyvillethompsoni	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	7.69	1.0E-02	2
240	Pseudostichopus_mollis	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	7.69	4.3E-02	2
